Target ISOs: 3403
Filter: count < 50
Allow fillers: false

iso | premixCount | grade
bap | 12 | bap_unq1,bap_unq2,bap_unq3,bap_unq4,bap_unq5
bargut | 12 | bargut_unq1,bargut_unq2,bargut_unq3,bargut_unq4,bargut_unq5
basap | 12 | basap_unq1,basap_unq2,basap_unq3,basap_unq4,basap_unq5
basum | 12 | basum_unq1,basum_unq2,basum_unq3,basum_unq4,basum_unq5
bata-language | 12 | bata-language_unq1,bata-language_unq2,bata-language_unq3,bata-language_unq4,bata-language_unq5
bathari | 12 | bathari_unq1,bathari_unq2,bathari_unq3,bathari_unq4,bathari_unq5
bats | 12 | bats_unq1,bats_unq2,bats_unq3,bats_unq4,bats_unq5
bayat-oirat | 12 | bayat-oirat_unq1,bayat-oirat_unq2,bayat-oirat_unq3,bayat-oirat_unq4,bayat-oirat_unq5
besermyan | 12 | besermyan_unq1,besermyan_unq2,besermyan_unq3,besermyan_unq4,besermyan_unq5
betawi | 12 | betawi_unq1,betawi_unq2,betawi_unq3,betawi_unq4,betawi_unq5
bhj | 12 | bhj_unq1,bhj_unq2,bhj_unq3,bhj_unq4,bhj_unq5
brx | 12 | brx_unq1,brx_unq2,brx_unq3,brx_unq4,brx_unq5
burushaski | 12 | burushaski_unq1,burushaski_unq2,burushaski_unq3,burushaski_unq4,burushaski_unq5
byw | 12 | byw_unq1,byw_unq2,byw_unq3,byw_unq4,byw_unq5
cauque-mayan-language | 12 | cauque-mayan-language_unq1,cauque-mayan-language_unq2,cauque-mayan-language_unq3,cauque-mayan-language_unq4,cauque-mayan-language_unq5
cay | 12 | cay_unq1,cay_unq2,cay_unq3,cay_unq4,cay_unq5
chadong | 12 | chadong_unq1,chadong_unq2,chadong_unq3,chadong_unq4,chadong_unq5
cherokee | 12 | cherokee_unq1,cherokee_unq2,cherokee_unq3,cherokee_unq4,cherokee_unq5
chx | 12 | chx_unq1,chx_unq2,chx_unq3,chx_unq4,chx_unq5
coz | 12 | coz_unq1,coz_unq2,coz_unq3,coz_unq4,coz_unq5
cro | 12 | cro_unq1,cro_unq2,cro_unq3,cro_unq4,cro_unq5
ctn | 12 | ctn_unq1,ctn_unq2,ctn_unq3,ctn_unq4,ctn_unq5
cur | 12 | cur_unq1,cur_unq2,cur_unq3,cur_unq4,cur_unq5
dakota | 12 | dakota_unq1,dakota_unq2,dakota_unq3,dakota_unq4,dakota_unq5
dhimal | 12 | dhimal_unq1,dhimal_unq2,dhimal_unq3,dhimal_unq4,dhimal_unq5
dhimalish | 12 | dhimalish_unq1,dhimalish_unq2,dhimalish_unq3,dhimalish_unq4,dhimalish_unq5
dus | 12 | dus_unq1,dus_unq2,dus_unq3,dus_unq4,dus_unq5
eastern-indonesian-malay | 12 | eastern-indonesian-malay_unq1,eastern-indonesian-malay_unq2,eastern-indonesian-malay_unq3,eastern-indonesian-malay_unq4,eastern-indonesian-malay_unq5
ekoka-kung | 12 | ekoka-kung_unq1,ekoka-kung_unq2,ekoka-kung_unq3,ekoka-kung_unq4,ekoka-kung_unq5
