iso	name	region	category	family	tags	tags_catalog	tags_auto	has_catalog_wikipedia_url	in_catalog	in_mixer_map	mixer_ready	bases	base_count	has_invalid_bases	invalid_bases	has_unique_base	base_set_key	base_set_cluster_size	wiki_lists	wiki_lists_direct	wiki_lists_inferred	wiki_inferred_by	wiki_titles	wiki_sources	wiki_names	wiki_items_count
yazva	Yazva	Eurasia	Uralic	Komi-Yodzyak	apostrophe;hyphen;space		apostrophe;hyphen;space	false	true	true	true	9,283,320,428	4	false		false	9,283,320,428	1	tools/mixer-meta/wikipedia-uralic-languages-full.json	tools/mixer-meta/wikipedia-uralic-languages-full.json		category:Uralic	Wikipedia: List of Uralic languages – full family list	https://en.wikipedia.org/wiki/List_of_Uralic_languages	Yazva	1
ybi	Yamphu	Asia	Sino-Tibetan	Kiranti				false	true	true	true	56	1	false		false	56	24	tools/mixer-meta/wikipedia-gongduk-language.json;tools/mixer-meta/wikipedia-languages-of-asia-official-languages.json;tools/mixer-meta/wikipedia-languages-of-nepal-census.json;tools/mixer-meta/wikipedia-languages-of-south-asia.json;tools/mixer-meta/wikipedia-languages-of-southeast-asia.json;tools/mixer-meta/wikipedia-languages-of-west-asia.json	tools/mixer-meta/wikipedia-languages-of-nepal-census.json	tools/mixer-meta/wikipedia-gongduk-language.json;tools/mixer-meta/wikipedia-languages-of-asia-official-languages.json;tools/mixer-meta/wikipedia-languages-of-south-asia.json;tools/mixer-meta/wikipedia-languages-of-southeast-asia.json;tools/mixer-meta/wikipedia-languages-of-west-asia.json	category:Sino-Tibetan;region:Asia	Wikipedia: Gongduk language – Bhutan Sino-Tibetan microfamily representative;Wikipedia: Languages of Asia – official languages table;Wikipedia: Languages of Nepal – census tables snapshot;Wikipedia: Languages of South Asia – regional subset;Wikipedia: Languages of Southeast Asia – regional subset;Wikipedia: Languages of West Asia – regional subset	https://en.wikipedia.org/wiki/Gongduk_language;https://en.wikipedia.org/wiki/Languages_of_Asia;https://en.wikipedia.org/wiki/Languages_of_Nepal;https://en.wikipedia.org/wiki/Languages_of_South_Asia;https://en.wikipedia.org/wiki/Languages_of_Southeast_Asia;https://en.wikipedia.org/wiki/West_Asia	Yamphu/Yamphe	1
ye-maek	Ye-Maek	East Asia	Koreanic	Ancient Koreanic	extinct;space	extinct	space	false	true	true	true	10,12,30,31,69	5	false		false	10,12,30,31,69	1								0
yec	Yenish	Europe	Germanic	Germanic				false	true	true	true	0,230	2	false		false	0,230	4	tools/mixer-meta/wikipedia-languages-of-europe.json	tools/mixer-meta/wikipedia-languages-of-europe.json		region:Europe	Wikipedia: Languages of Europe – regional subset	https://en.wikipedia.org/wiki/Languages_of_Europe	Yenish	1
yedina-language	Yedina language	Africa	Afroasiatic	Chadic	apostrophe;diacritics;hyphen;space		apostrophe;diacritics;hyphen;space	false	true	true	true	42,144,386	3	false		false	42,144,386	1	tools/mixer-meta/wikipedia-languages-of-africa-full.json;tools/mixer-meta/wikipedia-languages-of-africa-major.json		tools/mixer-meta/wikipedia-languages-of-africa-full.json;tools/mixer-meta/wikipedia-languages-of-africa-major.json	region:Africa	Wikipedia: Languages of Africa – full table snapshot;Wikipedia: Languages of Africa – major languages subset	https://en.wikipedia.org/wiki/Languages_of_Africa;https://en.wikipedia.org/wiki/Languages_of_Africa		0
yeheni	Yeheni	East Asia	Mixed	Hmong-Mien	apostrophe		apostrophe	false	true	true	true	11,72	2	false		false	11,72	1								0
yei-zhuang	Yei Zhuang	Asia	Tai-Kadai	Tai-Kadai	apostrophe;space		apostrophe;space	false	true	true	true	252,317,530	3	false		false	252,317,530	2	tools/mixer-meta/wikipedia-languages-of-asia-official-languages.json;tools/mixer-meta/wikipedia-languages-of-south-asia.json;tools/mixer-meta/wikipedia-languages-of-southeast-asia.json;tools/mixer-meta/wikipedia-languages-of-west-asia.json		tools/mixer-meta/wikipedia-languages-of-asia-official-languages.json;tools/mixer-meta/wikipedia-languages-of-south-asia.json;tools/mixer-meta/wikipedia-languages-of-southeast-asia.json;tools/mixer-meta/wikipedia-languages-of-west-asia.json	region:Asia	Wikipedia: Languages of Asia – official languages table;Wikipedia: Languages of South Asia – regional subset;Wikipedia: Languages of Southeast Asia – regional subset;Wikipedia: Languages of West Asia – regional subset	https://en.wikipedia.org/wiki/Languages_of_Asia;https://en.wikipedia.org/wiki/Languages_of_South_Asia;https://en.wikipedia.org/wiki/Languages_of_Southeast_Asia;https://en.wikipedia.org/wiki/West_Asia		0
yekora	Yekora	Pacific	Papuan	Binanderean	hyphen;space		hyphen;space	false	true	true	true	25,195,263,371	4	false		false	25,195,263,371	1	tools/mixer-meta/wikipedia-languages-of-oceania.json		tools/mixer-meta/wikipedia-languages-of-oceania.json	category:Papuan;region:Pacific	Wikipedia: Languages of Oceania – Papuan & Pacific subset	https://en.wikipedia.org/wiki/Languages_of_Oceania		0
yela-kela	Yela-Kela	Africa	Niger-Congo	Niger-Congo	apostrophe;diacritics;hyphen		apostrophe;diacritics;hyphen	false	true	true	true	113,124,151	3	false		false	113,124,151	1	tools/mixer-meta/wikipedia-languages-of-africa-full.json;tools/mixer-meta/wikipedia-languages-of-africa-major.json	tools/mixer-meta/wikipedia-languages-of-africa-full.json	tools/mixer-meta/wikipedia-languages-of-africa-major.json	region:Africa	Wikipedia: Languages of Africa – full table snapshot;Wikipedia: Languages of Africa – major languages subset	https://en.wikipedia.org/wiki/Languages_of_Africa;https://en.wikipedia.org/wiki/Languages_of_Africa	Yela-Kela	1
yemba	Yemba	Africa	Niger-Congo	Niger-Congo	apostrophe;diacritics;hyphen		apostrophe;diacritics;hyphen	false	true	true	true	112,124,151	3	false		false	112,124,151	1	tools/mixer-meta/wikipedia-languages-of-africa-full.json;tools/mixer-meta/wikipedia-languages-of-africa-major.json	tools/mixer-meta/wikipedia-languages-of-africa-full.json	tools/mixer-meta/wikipedia-languages-of-africa-major.json	region:Africa	Wikipedia: Languages of Africa – full table snapshot;Wikipedia: Languages of Africa – major languages subset	https://en.wikipedia.org/wiki/Languages_of_Africa;https://en.wikipedia.org/wiki/Languages_of_Africa	Yemba	1
