list	list_title	list_source	name	iso	status	detail	candidates	in_catalog	in_mixer_map
tools/mixer-meta/wikipedia-papuan-families-ross-2005.json	Wikipedia: Papuan language families - Ross (2005)	https://en.wikipedia.org/wiki/Papuan_languages	Mairasi languages		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-ross-2005.json	Wikipedia: Papuan language families - Ross (2005)	https://en.wikipedia.org/wiki/Papuan_languages	East Cenderawasih (Geelvink Bay) languages		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-ross-2005.json	Wikipedia: Papuan language families - Ross (2005)	https://en.wikipedia.org/wiki/Papuan_languages	Lakes Plain languages		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-ross-2005.json	Wikipedia: Papuan language families - Ross (2005)	https://en.wikipedia.org/wiki/Papuan_languages	Tor-Kwerba languages		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-ross-2005.json	Wikipedia: Papuan language families - Ross (2005)	https://en.wikipedia.org/wiki/Papuan_languages	Nimboran languages		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-ross-2005.json	Wikipedia: Papuan language families - Ross (2005)	https://en.wikipedia.org/wiki/Papuan_languages	Skou languages		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-ross-2005.json	Wikipedia: Papuan language families - Ross (2005)	https://en.wikipedia.org/wiki/Papuan_languages	Border languages		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-ross-2005.json	Wikipedia: Papuan language families - Ross (2005)	https://en.wikipedia.org/wiki/Papuan_languages	Left May-Kwomtari languages		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-ross-2005.json	Wikipedia: Papuan language families - Ross (2005)	https://en.wikipedia.org/wiki/Papuan_languages	Left May languages		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-ross-2005.json	Wikipedia: Papuan language families - Ross (2005)	https://en.wikipedia.org/wiki/Papuan_languages	Fas languages		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-ross-2005.json	Wikipedia: Papuan language families - Ross (2005)	https://en.wikipedia.org/wiki/Papuan_languages	Kwomtari languages		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-ross-2005.json	Wikipedia: Papuan language families - Ross (2005)	https://en.wikipedia.org/wiki/Papuan_languages	Senagi languages		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-ross-2005.json	Wikipedia: Papuan language families - Ross (2005)	https://en.wikipedia.org/wiki/Papuan_languages	Torricelli languages		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-ross-2005.json	Wikipedia: Papuan language families - Ross (2005)	https://en.wikipedia.org/wiki/Papuan_languages	Sepik languages		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-ross-2005.json	Wikipedia: Papuan language families - Ross (2005)	https://en.wikipedia.org/wiki/Papuan_languages	Ramu-Lower Sepik languages		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-ross-2005.json	Wikipedia: Papuan language families - Ross (2005)	https://en.wikipedia.org/wiki/Papuan_languages	Yuat languages		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-ross-2005.json	Wikipedia: Papuan language families - Ross (2005)	https://en.wikipedia.org/wiki/Papuan_languages	Piawi languages		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-ross-2005.json	Wikipedia: Papuan language families - Ross (2005)	https://en.wikipedia.org/wiki/Papuan_languages	South-Central Papuan languages		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-ross-2005.json	Wikipedia: Papuan language families - Ross (2005)	https://en.wikipedia.org/wiki/Papuan_languages	Eastern Trans-Fly languages		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-ross-2005.json	Wikipedia: Papuan language families - Ross (2005)	https://en.wikipedia.org/wiki/Papuan_languages	Yele-West New Britain languages		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-ross-2005.json	Wikipedia: Papuan language families - Ross (2005)	https://en.wikipedia.org/wiki/Papuan_languages	Yeli Dnye language		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-ross-2005.json	Wikipedia: Papuan language families - Ross (2005)	https://en.wikipedia.org/wiki/Papuan_languages	Anem language		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-ross-2005.json	Wikipedia: Papuan language families - Ross (2005)	https://en.wikipedia.org/wiki/Papuan_languages	Ata language		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-ross-2005.json	Wikipedia: Papuan language families - Ross (2005)	https://en.wikipedia.org/wiki/Papuan_languages	Baining languages		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-ross-2005.json	Wikipedia: Papuan language families - Ross (2005)	https://en.wikipedia.org/wiki/Papuan_languages	North Bougainville languages		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-ross-2005.json	Wikipedia: Papuan language families - Ross (2005)	https://en.wikipedia.org/wiki/Papuan_languages	South Bougainville languages		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-ross-2005.json	Wikipedia: Papuan language families - Ross (2005)	https://en.wikipedia.org/wiki/Papuan_languages	Central Solomons languages		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-usher-suter-2024.json	Wikipedia: Papuan language families - Usher & Suter (2024)	https://en.wikipedia.org/wiki/Papuan_languages	Abinomn		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-usher-suter-2024.json	Wikipedia: Papuan language families - Usher & Suter (2024)	https://en.wikipedia.org/wiki/Papuan_languages	Arai and Samaia Rivers		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-usher-suter-2024.json	Wikipedia: Papuan language families - Usher & Suter (2024)	https://en.wikipedia.org/wiki/Papuan_languages	Bulaka River		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-usher-suter-2024.json	Wikipedia: Papuan language families - Usher & Suter (2024)	https://en.wikipedia.org/wiki/Papuan_languages	Cenderawasih Bay		unmatched	No iso provided and name did not match any catalog entry		false	false
