i|name|filename|seedCount|d|m|min|max|region|family|seeds25|reviewed
2129|Nadou|namebases-asia.js|10|lnrt|0|4|11|Asia|Tai-Kadai|NO|NO
2130|Mulao Kra|namebases-asia.js|10|lnrt|0|4|11|Asia|Kra|NO|NO
2133|Mising|namebases-asia.js|5|l|0|4|11|Sino-Tibetan region|Tani|NO|NO
2134|Ke'yagana|namebases-asia.js|5|lnrt|0|4|11|||NO|NO
2136|Kemi|namebases-europe.js|5|lnrt|0|4|11|Eurasia|Western Dialects|NO|NO
2137|Kemijärvi|namebases-europe.js|6|lnrt|0|4|11|Eurasia|Western Dialects|NO|NO
2139|Keuruu-Evijärvi|namebases-europe.js|7|lnrt|0|4|11|Eurasia|Eastern Dialects|NO|NO
2141|Kacchi|namebases-asia.js|5|lnrt|0|4|11|Asia|Indo-Aryan|NO|NO
2142|Kumaoni|namebases-africa.js|10|lnrt|0|4|11|Asia|Central Pahari|NO|NO
2143|Kusunda|namebases-asia.js|10|r|0|4|11|Asia|Kusunda|NO|NO
2144|Dura Tandrange|namebases-asia.js|10|lnrt|0|4|12|Sino-Tibetan region|Sino-Tibetan|NO|NO
2146|Gaelic|namebases-europe.js|10|nld|0|4|12|Europe|Celtic|NO|NO
2147|Gong|namebases-asia.js|10|z|0|4|12|Sino-Tibetan region|Sino-Tibetan|NO|NO
2148|Gongduk|namebases-asia.js|10|lnrt|0|4|12|Sino-Tibetan region|Sino-Tibetan|NO|NO
2149|Admiralty|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Austronesian|NO|NO
2151|Alor-Pantar|namebases-oceania.js|10|lnrt|0|4|11|||NO|NO
2153|Anim languages|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Papuan|NO|NO
2154|Aru|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Austronesian|NO|NO
2155|Aslian languages|namebases-asia.js|10|lnrt|0|4|11|Asia|Aslian|NO|NO
2156|Awin-Pa|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Papuan|NO|NO
2157|Awyu-Dumut|namebases-oceania.js|10|lnrt|0|4|11|||NO|NO
2159|Khowar|namebases-asia.js|10|lnrt|0|4|11|Asia|Dardic|NO|NO
2160|Khwarshi|namebases-asia.js|10|lnrt|0|4|11|Caucasus|Northeast Caucasian|NO|NO
2161|Kiautschou Pidgin German|namebases-asia.js|10|lnrt|0|4|11|Misc|Pidgin|NO|NO
2166|Kikuyu|namebases-africa.js|6|lnrt|0|4|11|Africa|Niger-Congo|NO|NO
2167|Kim Mun|namebases-asia.js|10|lnrt|0|4|11|East Asia|Mienic|NO|NO
2168|Kimaama-Kimaghama|namebases-oceania.js|5|lnrt|0|4|11|||NO|NO
2172|Central Vanuatu|namebases-oceania.js|8|lnrt|0|4|11|Pacific|Austronesian|NO|NO
2173|Eastern Oceanic|namebases-oceania.js|8|lnrt|0|4|11|Pacific|Austronesian|NO|NO
2174|Meso-Melanesian|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Austronesian|NO|NO
2175|Oceanic|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Austronesian|NO|NO
2176|Binanderean|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Papuan|NO|NO
2177|Kutubuan languages|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Trans–New Guinea|NO|NO
2178|Goilalan|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Papuan|NO|NO
2179|Kolopom|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Papuan|NO|NO
2180|Damal|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Trans-New Guinea|NO|NO
2181|Dem|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Trans-New Guinea|NO|NO
2182|Dibiyaso|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Bosavi|NO|NO
2183|Guriaso|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Kwomtari|NO|NO
2184|Kaki Ae|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Eleman|NO|NO
2185|Karami|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Lengu|NO|NO
2186|Kehu|namebases-oceania.js|10|r|0|4|11|Pacific|Language Isolate|NO|NO
2189|Khasi|namebases-asia.js|10|lnrt|0|4|11|Asia|Khasic|NO|NO
2190|Lyngngam|namebases-asia.js|10|lnrt|0|4|11|Asia|Khasic|NO|NO
2191|Khasi native-speakers subset|namebases-asia.js|10|lnrt|0|4|11|South Asia|Khasic|NO|NO
2192|Pnar|namebases-asia.js|10|lnrt|0|4|11|Asia|Khasic|NO|NO
2193|War Khasi|namebases-asia.js|10|lnrt|0|4|11|Asia|Khasic|NO|NO
2194|Khakas|namebases-asia.js|10|lnrt|0|4|11|Asia|Siberian Turkic|NO|NO
2196|Khamnigan Mongol|namebases-africa.js|10|lnrt|0|4|11|Asia|Mongolic|NO|NO
2197|Khams Tibetan|namebases-asia.js|10|lnrt|0|4|11|Asia|Bodish|NO|NO
2198|Khamti|namebases-asia.js|10|lnrt|0|4|11|Asia|Tai-Kadai|NO|NO
2199|Khamyang|namebases-asia.js|10|lnrt|0|4|11|Asia|Tai-Kadai|NO|NO
2200|Kharia|namebases-asia.js|10|lnrt|0|4|11|Asia|Munda|NO|NO
2202|Khe Khmer|namebases-asia.js|10|lnrt|0|4|11|Asia|Khmeric|NO|NO
2203|Northern Khmer|namebases-asia.js|10|lnrt|0|4|11|Asia|Khmeric|NO|NO
2204|Kho Bwa|namebases-asia.js|10|lnrt|0|4|11|Sino-Tibetan region|Sino-Tibetan|NO|NO
2205|Khori Buryat|namebases-asia.js|10|aou|0|4|11|Asia|Mongolic|NO|NO
2206|Khortha|namebases-asia.js|10|lnrt|0|4|11|Asia|Bihari|NO|NO
2223|Achi|namebases-northAmerica.js|10|lnrt|0|4|11|Mesoamerica|Mayan|NO|NO
2227|Southern Udmurt|namebases-europe.js|10|lnrt|0|4|11|Eurasia|Udmurt|NO|NO
2228|Northern Udmurt|namebases-europe.js|10|lnrt|0|4|11|Eurasia|Udmurt|NO|NO
2229|Meadow Mari|namebases-europe.js|10|lnrt|0|4|11|Eurasia|Meadow Mari|NO|NO
2230|Meadow Mari Proper|namebases-europe.js|10|lnrt|0|4|11|Eurasia|Meadow Mari|NO|NO
2232|Proto-Mari|namebases-europe.js|10|lnrt|0|4|11|Eurasia|Proto-Mari|NO|NO
2233|Khun|namebases-asia.js|10|lnrt|0|4|11|Asia|Tai-Kadai|NO|NO
2238|Kiwai|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Kiwaian|NO|NO
2240|Kulung|namebases-asia.js|10|lnrt|0|4|11|Asia|Kiranti|NO|NO
2241|Klon|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Alor–Pantar|NO|NO
2242|Kalasha|namebases-asia.js|10|lnrt|0|4|11|Asia|Dardic|NO|NO
2243|Mednyj Aleut|namebases-asia.js|9|lnrt|0|4|11|Misc|Mixed|NO|NO
2244|Mon|namebases-africa.js|10|lnrt|0|4|11|Asia|Monic|NO|NO
2245|Mon (native speakers)|namebases-africa.js|5|lnrt|0|4|11|||NO|NO
2246|Lakkia-Kam-Sui|namebases-asia.js|9|lnrt|0|4|11|||NO|NO
2247|Tai Hongjin|namebases-asia.js|10|lnrt|0|4|11|Asia|Tai-Kadai|NO|NO
2248|Qabiao|namebases-asia.js|10|lnrt|0|4|11|Asia|Kra|NO|NO
2249|Akatek|namebases-northAmerica.js|10|lnrt|0|4|11|Mesoamerica|Mayan|NO|NO
2250|Kochevo|namebases-europe.js|10|lnrt|0|4|11|Eurasia|Komi-Permyak|NO|NO
2251|Koho|namebases-asia.js|10|lnrt|0|4|11|Asia|Bahnaric|NO|NO
2252|Koibal|namebases-europe.js|10|lnrt|0|4|11|Eurasia|Kamas|NO|NO
2253|Koitabu|namebases-oceania.js|9|lnrt|0|4|11|Pacific|Southeast Papuan|NO|NO
2254|Kombai-Wanggom|namebases-asia.js|8|lnrt|0|4|11|||NO|NO
2255|Komi-Permyak|namebases-europe.js|10|lnrt|0|4|11|Eurasia|Komi-Permyak|NO|NO
2256|Komolom|namebases-oceania.js|10|n|0|4|11|Pacific|Bayono–Awbono|NO|NO
2257|Komyandaret|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Greater Awyu|NO|NO
2258|Konai|namebases-oceania.js|10|lnrt|0|4|11|Pacific|East Strickland|NO|NO
2259|Konda|namebases-asia.js|9|lnrt|0|4|11|Asia|South-Central Dravidian|NO|NO
2260|Konda Khanty|namebases-europe.js|10|lnrt|0|4|11|Eurasia|Southern Khanty|NO|NO
2261|Koneraw|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Bayono–Awbono|NO|NO
2262|Konkani|namebases-asia.js|10|lnrt|0|4|11|Asia|Marathi–Konkani|NO|NO
2264|Kopkaka|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Ok–Oksapmin|NO|NO
2265|Kor|namebases-asia.js|10|lnrt|0|4|11|East Asia|Koreanic|NO|NO
2266|Korafe|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Binanderean|NO|NO
2267|Korlai Portuguese Creole|namebases-asia.js|10|lnrt|0|4|11|Asia|Portuguese-based|NO|NO
2269|Korowai|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Greater Awyu|NO|NO
2270|Koryo-mar|namebases-europe.js|10|lnrt|0|4|11|Eurasia|Koreanic|NO|NO
2271|Kosraean|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Micronesian|NO|NO
2272|Kosena|namebases-oceania.js|6|lnrt|0|4|11|Pacific|Kainantu–Goroka|NO|NO
2273|Kovojab|namebases-oceania.js|8|i|0|4|11|Pacific|Bayono–Awbono|NO|NO
2274|Koya|namebases-asia.js|9|lnrt|0|4|11|Asia|South-Central Dravidian|NO|NO
2276|Karata|namebases-asia.js|6|lnrt|0|4|11|Caucasus|Northeast Caucasian|NO|NO
2277|Kumhali|namebases-africa.js|7|lnrt|0|4|11|Asia|Indo-Aryan|NO|NO
2278|Kraasna|namebases-europe.js|7|akiut|0|4|11|Eurasia|South Estonian|NO|NO
2279|Krasnojarsk Khanty|namebases-europe.js|5|lnrt|0|4|11|Eurasia|Southern Khanty|NO|NO
2280|Karachay-Balkar|namebases-asia.js|10|lnrt|0|4|11|Caucasus|Kipchak Turkic|NO|NO
2281|Krevinian|namebases-europe.js|6|akiut|0|4|11|Eurasia|Votic|NO|NO
2282|Krio|namebases-africa.js|10|lnrt|0|4|11|Africa|English-based|NO|NO
2283|Kristang|namebases-asia.js|10|lnrt|0|4|11|Asia|Portuguese-based|NO|NO
2284|Kubo|namebases-oceania.js|10|lnrt|0|4|11|Pacific|East Strickland|NO|NO
2285|Kui Alor-Pantar|namebases-oceania.js|8|lnrt|0|4|11|Pacific|Alor–Pantar|NO|NO
2286|Kuki Chin|namebases-asia.js|10|lnrt|0|4|11|Sino-Tibetan region|Sino-Tibetan|NO|NO
2287|Kuki Chin Naga|namebases-asia.js|10|lnrt|0|4|11|Sino-Tibetan region|Sino-Tibetan|NO|NO
2288|Kukkuzi|namebases-europe.js|10|akiut|0|4|11|Eurasia|Votic|NO|NO
2289|Kula|namebases-oceania.js|10|rst|0|4|11|Pacific|Alor–Pantar|NO|NO
2290|Kumyk|namebases-asia.js|8|lnrt|0|4|11|Caucasus|Kipchak Turkic|NO|NO
2291|Kuman|namebases-oceania.js|9|lnrt|0|4|11|Pacific|Chimbu–Wahgi|NO|NO
2292|Kumhali (alias)|namebases-africa.js|8|lnrt|0|4|11|Asia|Indo-Aryan|NO|NO
2294|Kunduvadi|namebases-asia.js|10|lnrt|0|4|11|Asia|South Dravidian|NO|NO
2295|Kuril Ainu|namebases-asia.js|10|lnrt|0|4|11|Asia|Kuril|NO|NO
2296|Kuril dialects|namebases-asia.js|6|lnrt|0|4|11|Asia|Kuril|NO|NO
2297|Kurukh|namebases-asia.js|8|lnrt|0|4|11|Asia|North Dravidian|NO|NO
2298|Kuvi|namebases-asia.js|5|lnrt|0|4|11|Asia|South-Central Dravidian|NO|NO
2299|Bagvalal|namebases-asia.js|10|lnrt|0|4|11|Caucasus|Northeast Caucasian|NO|NO
2300|Parkari Koli|namebases-asia.js|10|lnrt|0|4|11|Asia|Indo-Aryan|NO|NO
2301|Kwoma-Manambu Pidgin|namebases-asia.js|10|lnrt|0|4|11|Misc|Pidgin|NO|NO
2302|Kui (India)|namebases-asia.js|9|lnrt|0|4|11|Asia|South Dravidian|NO|NO
2303|Kyaka|namebases-oceania.js|10|g|0|4|11|Pacific|Engan|NO|NO
2304|Kyakhta Russian-Chinese Pidgin|namebases-asia.js|5|lnrt|0|4|11|Misc|Pidgin|NO|NO
2305|Kyowa-go|namebases-asia.js|10|lnrt|0|4|11|Misc|Pidgin|NO|NO
2306|Kewat|namebases-asia.js|10|lnrt|0|4|11|Asia|Indo-Aryan|NO|NO
2307|Kurmali|namebases-asia.js|10|lnrt|0|4|11|Asia|Bihari|NO|NO
2308|Kelabit|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Austronesian|NO|NO
2311|Labrador Inuit Pidgin French (dedicated)|namebases-northAmerica.js|10|lnrt|0|4|11|||NO|NO
2312|Lachi|namebases-asia.js|10|lnrt|0|4|11|Asia|Kra|NO|NO
2313|Laha|namebases-asia.js|8|lnrt|0|4|11|Asia|Kra|NO|NO
2314|Lahu|namebases-asia.js|8|abr|0|4|11|Sino-Tibetan region|Sino-Tibetan|NO|NO
2315|Laiuse Romani|namebases-europe.js|10|lnrt|0|4|11|Eurasia|Romani|NO|NO
2316|Lakota|namebases-northAmerica.js|10|lnrt|0|4|11|North America|Siouan|NO|NO
2319|Lanping Bai dialect|namebases-asia.js|10|lnrt|0|4|11|Sino-Tibetan region|Bai|NO|NO
2320|Tura|namebases-europe.js|7|lnrt|0|4|11|Eurasia|Southern Mansi|NO|NO
2321|Northern Khanty|namebases-europe.js|7|lnrt|0|4|11|Eurasia|Northern Khanty|NO|NO
2322|Sherkal|namebases-europe.js|10|lnrt|0|4|11|Eurasia|Northern Khanty|NO|NO
2323|Southern Khanty|namebases-europe.js|6|lnrt|0|4|11|Eurasia|Southern Khanty|NO|NO
2324|Upper Demjanka|namebases-europe.js|7|lnrt|0|4|11|Eurasia|Southern Khanty|NO|NO
2325|Surgut Khanty|namebases-europe.js|8|lnrt|0|4|11|Eurasia|Eastern Khanty|NO|NO
2326|Malij Jugan|namebases-europe.js|10|lnrt|0|4|11|Eurasia|Eastern Khanty|NO|NO
2327|Tremjugan|namebases-europe.js|11|lnrt|0|4|11|Eurasia|Eastern Khanty|NO|NO
2341|Zenati Berber|namebases-africa.js|10|lnrt|0|4|11|Africa|Zenati Berber|NO|NO
2343|Kurambhag Paharia|namebases-asia.js|10|lnrt|0|4|11|Asia|North Dravidian|NO|NO
2344|Kurichiya|namebases-asia.js|6|lnrt|0|4|11|Asia|South Dravidian|NO|NO
2345|Azd Dialect|namebases-asia.js|7|lnrt|0|4|11|||NO|NO
2346|Ejtun Dialect|namebases-europe.js|9|lnrt|0|4|11|||NO|NO
2348|Aas Whistled|namebases-europe.js|8|lnrt|0|4|11|Europe|Gascon Occitan|NO|NO
2351|Abkhaz|namebases-asia.js|10|lnrt|0|4|11|Caucasus|Northwest Caucasian|NO|NO
2356|Adyghe|namebases-asia.js|10|lnrt|0|4|11|Caucasus|Northwest Caucasian|NO|NO
2362|Afro Seminole Creole|namebases-asia.js|10|lnrt|0|4|11|||NO|NO
2370|Lao|namebases-asia.js|10|lnrt|0|4|11|Asia|Tai-Kadai|NO|NO
2371|Southeastern Moksha|namebases-europe.js|10|lnrt|0|4|11|Eurasia|Moksha|NO|NO
2372|Western Moksha|namebases-europe.js|10|lnrt|0|4|11|Eurasia|Moksha|NO|NO
2373|Syktyvkar|namebases-europe.js|10|lnrt|0|4|11|Eurasia|Komi-Zyryan|NO|NO
2375|Sanchursk|namebases-europe.js|8|lnrt|0|4|11|Eurasia|Northwestern Mari|NO|NO
2376|Sharanga|namebases-europe.js|7|lnrt|0|4|11|Eurasia|Northwestern Mari|NO|NO
2377|Selkup|namebases-europe.js|6|lnrt|0|4|11|Eurasia|Selkup|NO|NO
2378|Northern Selkup|namebases-europe.js|8|lnrt|0|4|11|Eurasia|Selkup|NO|NO
2379|Northern Mansi|namebases-europe.js|10|lnrt|0|4|11|Eurasia|Northern Mansi|NO|NO
2380|Sosva|namebases-europe.js|10|lnrt|0|4|11|Eurasia|Northern Mansi|NO|NO
2384|Kva|namebases-asia.js|10|lnrt|0|4|11|||NO|NO
2385|Kvx|namebases-asia.js|10|lnrt|0|4|11|||NO|NO
2386|Kwoma Manambu Pidgin|namebases-asia.js|10|lnrt|0|4|11|||NO|NO
2387|Kxu|namebases-asia.js|5|lnrt|0|4|11|||NO|NO
2389|Kyakhta Russian Chinese Pidgin|namebases-asia.js|11|lnrt|0|4|11|||NO|NO
2390|Kyowa Go|namebases-asia.js|10|lnrt|0|4|11|||NO|NO
2391|Kyv|namebases-asia.js|10|lnrt|0|4|11|||NO|NO
2392|Kyw|namebases-asia.js|7|lnrt|0|4|11|||NO|NO
2393|Kzi|namebases-asia.js|5|lnrt|0|4|11|||NO|NO
2407|Laua|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Southeast Papuan|NO|NO
2408|Laven|namebases-asia.js|9|lnrt|0|4|11|Asia|Bahnaric|NO|NO
2409|Lavi|namebases-asia.js|9|lnrt|0|4|11|Asia|Bahnaric|NO|NO
2410|Lauje|namebases-oceania.js|6|lnrt|0|4|11|Pacific|Austronesian|NO|NO
2411|Laz|namebases-asia.js|10|lnrt|0|4|11|Caucasus|Kartvelian|NO|NO
2412|Lak|namebases-asia.js|10|lnrt|0|4|11|Caucasus|Northeast Caucasian|NO|NO
2413|Ladakhi|namebases-asia.js|10|lnrt|0|4|11|Asia|Tibetic|NO|NO
2414|Leivu|namebases-europe.js|10|akiut|0|4|11|Eurasia|South Estonian|NO|NO
2415|Lembena|namebases-oceania.js|10|k|0|4|11|Pacific|Engan|NO|NO
2416|Lemi region|namebases-europe.js|9|lnrt|0|4|11|Eurasia|Southeastern Dialects|NO|NO
2417|Lepcha|namebases-asia.js|8|lnrt|0|4|11|Sino-Tibetan region|Sino-Tibetan|NO|NO
2418|Levantine Arabic|namebases-asia.js|10|lnrt|0|4|11|Middle East|Levantine|NO|NO
2419|Lezgin|namebases-asia.js|8|lnrt|0|4|11|Caucasus|Northeast Caucasian|NO|NO
2420|Lhomi|namebases-asia.js|10|kn|0|4|11|Asia|Tibetic|NO|NO
2424|Wapan|namebases-africa.js|8|lnrt|0|4|11|Africa|Niger-Congo|NO|NO
2425|Limba|namebases-africa.js|12|lnrt|0|4|11|Africa|Mel|NO|NO
2426|Wushi|namebases-africa.js|8|lnrt|0|4|11|Africa|Niger-Congo|NO|NO
2427|Lingling|namebases-asia.js|7|lnrt|0|4|11|East Asia|Mixed|NO|NO
2428|Lisu|namebases-asia.js|6|bt|0|4|11|Sino-Tibetan region|Sino-Tibetan|NO|NO
2429|Livvi|namebases-europe.js|5|lnrt|0|4|11|Eurasia|Livvi|NO|NO
2430|Yakkha|namebases-asia.js|10|s|0|4|11|Asia|Kiranti|NO|NO
2431|Avar|namebases-asia.js|10|lnrt|0|4|11|Caucasus|Northeast Caucasian|NO|NO
2432|Yerukala|namebases-asia.js|6|lnrt|0|4|11|Asia|South Dravidian|NO|NO
2433|Levantine|namebases-asia.js|9|ankprs|0|4|12|||NO|NO
2434|Yulu|namebases-africa.js|8|lnrt|0|4|11|Africa|Nilo-Saharan|NO|NO
2435|Movima|namebases-southAmerica.js|10|lnrt|0|4|11|South America|Movima isolate|NO|NO
2436|Nonuya|namebases-southAmerica.js|10|lnrt|0|4|11|South America|Witotoan|NO|NO
2437|Ocaina|namebases-southAmerica.js|10|lnrt|0|4|11|South America|Witotoan|NO|NO
2438|Tibetan|namebases-asia.js|6|lnrt|0|4|12|||NO|NO
2439|Cuicatec|namebases-northAmerica.js|10|lnrt|0|4|11|Mesoamerica|Oto-Manguean|NO|NO
2440|Guna|namebases-southAmerica.js|6|lnrt|0|4|11|Central America|Chibchan|NO|NO
2441|Meitei|namebases-asia.js|10|lnrt|0|4|12|South Asia|Tibeto-Burman|NO|NO
2442|Karenic|namebases-asia.js|8|lnrt|0|4|12|Sino-Tibetan region|Sino-Tibetan|NO|NO
2443|Bai|namebases-asia.js|9|lnrt|0|4|12|Sino-Tibetan region|Bai|NO|NO
2444|Tujia|namebases-asia.js|10|lnrt|0|4|12|Sino-Tibetan region|Sino-Tibetan|NO|NO
2445|West Himalayish|namebases-asia.js|9|lnrt|0|4|12|Sino-Tibetan region|Sino-Tibetan|NO|NO
2446|Tamangic|namebases-asia.js|9|lnrt|0|4|12|Sino-Tibetan region|Sino-Tibetan|NO|NO
2447|Kiranti|namebases-asia.js|10|lnrt|0|4|12|Sino-Tibetan region|Sino-Tibetan|NO|NO
2448|Qiangic|namebases-asia.js|10|lnrt|0|4|12|Sino-Tibetan region|Sino-Tibetan|NO|NO
2449|Gyalrongic|namebases-asia.js|9|lnrt|0|4|12|Sino-Tibetan region|Gyalrongic|NO|NO
2450|Ersuic|namebases-asia.js|5|lnrt|0|4|12|Sino-Tibetan region|Sino-Tibetan|NO|NO
2451|Naic|namebases-asia.js|10|lnrt|0|4|12|Sino-Tibetan region|Sino-Tibetan|NO|NO
2452|Naga|namebases-asia.js|10|lnrt|0|4|12|Sino-Tibetan region|Sino-Tibetan|NO|NO
2453|Kuki-Chin|namebases-asia.js|8|lnrt|0|4|12|||NO|NO
2455|Jingpho-Luish|namebases-asia.js|9|lnrt|0|4|12|||NO|NO
2456|Arunachal|namebases-asia.js|10|lnrt|0|4|12|Sino-Tibetan region|Sino-Tibetan|NO|NO
2457|Mandarin|namebases-africa.js|9|ms|0|5|10|Sino-Tibetan region|Sino-Tibetan|NO|NO
2458|Gan|namebases-asia.js|10|lnrt|0|5|10|Sino-Tibetan region|Sino-Tibetan|NO|NO
2459|Min|namebases-asia.js|7|lr|0|5|10|Sino-Tibetan region|Sino-Tibetan|NO|NO
2460|Wu|namebases-asia.js|9|l|0|5|10|Sino-Tibetan region|Sino-Tibetan|NO|NO
2461|Xiang|namebases-asia.js|9|lnrt|0|5|10|Sino-Tibetan region|Sino-Tibetan|NO|NO
2462|Jin|namebases-asia.js|8|l|0|5|10|Sino-Tibetan region|Sino-Tibetan|NO|NO
2463|Hui|namebases-asia.js|9|l|0|5|10|Sino-Tibetan region|Sino-Tibetan|NO|NO
2464|Pinghua|namebases-asia.js|7|l|0|5|10|Sino-Tibetan region|Sino-Tibetan|NO|NO
2465|Hakka|namebases-asia.js|9|r|0|5|10|Sino-Tibetan region|Hakka|NO|NO
2466|Magar|namebases-asia.js|10|lnrt|0|4|12|Sino-Tibetan region|Sino-Tibetan|NO|NO
2467|Kham|namebases-asia.js|8|lnrt|0|4|12|Sino-Tibetan region|Sino-Tibetan|NO|NO
2469|Bhujel|namebases-asia.js|8|lnrt|0|4|12|Sino-Tibetan region|Sino-Tibetan|NO|NO
2470|Ahtna|namebases-northAmerica.js|5|lnrt|0|4|11|North America|Na-Dene|NO|NO
2471|Dhimal|namebases-asia.js|10|lnrt|0|4|12|Sino-Tibetan region|Sino-Tibetan|NO|NO
2472|Toto|namebases-asia.js|8|lnrt|0|4|12|Sino-Tibetan region|Sino-Tibetan|NO|NO
2473|Air Tamajeq|namebases-africa.js|7|stnlrkm|0|4|11|Africa|Tuareg Berber|NO|NO
2474|Miju-Meyor|namebases-asia.js|5|lnrt|0|4|12|||NO|NO
2475|Koro|namebases-asia.js|10|lnrt|0|4|12|Sino-Tibetan region|Sino-Tibetan|NO|NO
2476|Idu-Taraon|namebases-asia.js|9|lnrt|0|4|12|||NO|NO
2479|Zeme|namebases-asia.js|8|lnrt|0|4|12|Sino-Tibetan region|Sino-Tibetan|NO|NO
2480|Konyak|namebases-asia.js|9|lnrt|0|4|12|Sino-Tibetan region|Sino-Tibetan|NO|NO
2481|Tangkhulic|namebases-asia.js|9|lnrt|0|4|12|Sino-Tibetan region|Sino-Tibetan|NO|NO
2482|Mru|namebases-asia.js|10|lnrt|0|4|12|Sino-Tibetan region|Sino-Tibetan|NO|NO
2483|Karbi|namebases-asia.js|10|lnrt|0|4|12|Sino-Tibetan region|Sino-Tibetan|NO|NO
2484|Tshangla|namebases-asia.js|10|lnrt|0|4|12|Sino-Tibetan region|Sino-Tibetan|NO|NO
2485|Tani|namebases-asia.js|7|lnrt|0|4|12|Sino-Tibetan region|Sino-Tibetan|NO|NO
2486|Basum|namebases-asia.js|8|lnrt|0|4|12|Sino-Tibetan region|Sino-Tibetan|NO|NO
2487|Nam|namebases-africa.js|10|lnrt|0|4|12|Sino-Tibetan region|Sino-Tibetan|NO|NO
2489|Ole|namebases-asia.js|7|lnrt|0|4|12|Sino-Tibetan region|Sino-Tibetan|NO|NO
2490|Kho-Bwa|namebases-asia.js|8|lnrt|0|4|12|||NO|NO
2491|Songlin|namebases-asia.js|5|lnrt|0|4|12|Sino-Tibetan region|Sino-Tibetan|NO|NO
2494|Kathu|namebases-asia.js|5|lnrt|0|4|12|Sino-Tibetan region|Sino-Tibetan|NO|NO
2495|Cai-Long|namebases-asia.js|9|lnrt|0|4|12|||NO|NO
2497|Lolo-Burmese|namebases-asia.js|6|lnrt|0|4|11|||NO|NO
2498|Loloish|namebases-asia.js|7|lnrt|0|4|11|Sino-Tibetan region|Sino-Tibetan|NO|NO
2499|Mondzish|namebases-africa.js|10|lnrt|0|4|11|Sino-Tibetan region|Sino-Tibetan|NO|NO
2500|Raji-Raute|namebases-asia.js|6|lnrt|0|4|12|||NO|NO
2502|Lhokpu|namebases-asia.js|10|lnrt|0|4|12|Sino-Tibetan region|Sino-Tibetan|NO|NO
2509|Mandinka|namebases-africa.js|8|lnrt|0|4|12|Africa|Mande|NO|NO
2512|Ga|namebases-africa.js|10|lnrt|0|4|12|Africa|Ga–Dangme|NO|NO
2522|Oromo|namebases-africa.js|10|lnrt|0|4|12|Horn of Africa|Cushitic|NO|NO
2527|Mehri|namebases-asia.js|9|lnrt|0|4|12|||NO|NO
2528|Maltese|namebases-europe.js|10|lnrt|0|4|12|Europe|Semitic|NO|NO
2535|Gamo-Gofa-Dawro|namebases-africa.js|10|lnrt|0|4|12|||NO|NO
2548|Qeqchi|namebases-northAmerica.js|6|lnrt|0|4|12|||NO|NO
2549|Kiche|namebases-northAmerica.js|9|lnrt|0|4|12|||NO|NO
2550|Yucatec-Maya|namebases-northAmerica.js|5|lnrt|0|4|12|||NO|NO
2558|Totonac|namebases-northAmerica.js|5|lnrt|0|4|12|Mesoamerica|Totonacan|NO|NO
2561|Qanjobal|namebases-northAmerica.js|10|lnrt|0|4|12|||NO|NO
2565|Southern-Quechua|namebases-northAmerica.js|8|lnrt|0|4|12|||NO|NO
2570|Khmer|namebases-asia.js|10|lnrt|0|4|12|Asia|Khmeric|NO|NO
2574|Hindi|namebases-asia.js|5|lnrt|0|5|11|Asia|Western Hindi|NO|NO
2575|Scottish-Gaelic|namebases-europe.js|9|lnrt|0|4|12|||NO|NO
2576|Miskito|namebases-southAmerica.js|9|lnrt|0|4|12|Central America|Misumalpan|NO|NO
2580|Tikuna|namebases-southAmerica.js|6|lnrt|0|4|12|South America|Ticuna–Yuri|NO|NO
2584|Tagalog|namebases-oceania.js|6|lnrt|0|4|12|Pacific|Austronesian|NO|NO
2585|Indonesian|namebases-oceania.js|6|lnrt|0|4|12|Pacific|Austronesian|NO|NO
2586|Malay|namebases-oceania.js|10|lnrt|0|4|12|Pacific|Austronesian|NO|NO
2587|Maori|namebases-oceania.js|5|lnrt|0|4|12|Pacific|Polynesian|NO|NO
