i|name|filename|seedCount|d|m|min|max|region|family|seeds25|reviewed
94|Old English|namebases-europe.js|9|eos|0.1|5|11|Europe|Germanic|NO|NO
95|Archi|namebases-asia.js|10|lnrt|0|4|10|Caucasus|Northeast Caucasian|NO|NO
96|Samoyedic Arctic|namebases-europe.js|9|lnrt|0|5|12|||NO|NO
97|Iban|namebases-asia.js|10|lnrt|0|4|11|Southeast Asia|Malayo-Polynesian|NO|NO
98|Sarawakian Malay|namebases-asia.js|10|lnrt|0|4|11|Southeast Asia|Malayo-Polynesian|NO|NO
100|Sabah Malay|namebases-africa.js|11|lnrt|0|4|11|Asia|Malay-based|NO|NO
103|Standard Malay|namebases-asia.js|11|lnrt|0|4|11|||NO|NO
105|Kupang Malay|namebases-asia.js|14|lnrt|0|4|11|Asia|Malay-based|NO|NO
107|Makassar Malay|namebases-africa.js|13|lnrt|0|4|11|Misc|Mixed|NO|NO
108|Malaccan Creole Malay|namebases-asia.js|12|lnrt|0|4|11|Asia|Malay-based|NO|NO
109|Manado Malay|namebases-asia.js|11|lnrt|0|4|11|Asia|Malay-based|NO|NO
110|Dura-Tandrange|namebases-asia.js|11|lnrt|0|4|12|||NO|NO
112|Papuan Malay|namebases-asia.js|9|lnrt|0|4|11|Asia|Malay-based|NO|NO
113|Serui Malay|namebases-asia.js|10|lnrt|0|4|11|Asia|Malay-based|NO|NO
115|Sula Malay|namebases-asia.js|10|lnrt|0|4|11|Asia|Malay-based|NO|NO
116|Batek|namebases-asia.js|7|lnrt|0|4|11|Asia|Aslian|NO|NO
117|Mah Meri|namebases-asia.js|9|lnrt|0|4|11|Asia|Aslian|NO|NO
118|Semai|namebases-asia.js|8|lnrt|0|4|11|Asia|Aslian|NO|NO
119|Semaq Beri|namebases-asia.js|8|lnrt|0|4|11|Asia|Aslian|NO|NO
120|Semelai|namebases-asia.js|9|lnrt|0|4|11|Asia|Aslian|NO|NO
121|Temiar|namebases-africa.js|10|lnrt|0|4|11|Asia|Aslian|NO|NO
122|Camorta Nicobarese|namebases-asia.js|8|lnrt|0|4|11|Asia|Nicobarese|NO|NO
124|Chaura Nicobarese|namebases-asia.js|8|lnrt|0|4|11|Asia|Nicobarese|NO|NO
125|Nancowry Nicobarese|namebases-asia.js|5|lnrt|0|4|11|Asia|Nicobarese|NO|NO
126|Nicobarese (macro)|namebases-asia.js|9|lnrt|0|4|11|||NO|NO
127|Orang Pulo|namebases-asia.js|9|lnrt|0|4|11|Asia|Malay-based|NO|NO
128|Peranakan|namebases-asia.js|10|lnrt|0|4|11|Asia|Malay-based|NO|NO
129|Shompen|namebases-asia.js|11|lnrt|0|4|11|Asia|Nicobarese|NO|NO
130|Southern Nicobarese|namebases-asia.js|7|lnrt|0|4|11|Asia|Nicobarese|NO|NO
131|Terêna|namebases-southAmerica.js|9|lnrt|0|4|11|South America|Arawakan|NO|NO
132|Katchal Nicobarese|namebases-asia.js|9|lnrt|0|4|11|Asia|Nicobarese|NO|NO
133|Kenaboi|namebases-asia.js|10|lnrt|0|4|11|Asia|Unclassified|NO|NO
134|Minangkabau|namebases-asia.js|8|lnrt|0|4|11|Southeast Asia|Austronesian|NO|NO
135|Lampung|namebases-oceania.js|9|lnrt|0|4|11|Pacific|Austronesian|NO|NO
136|Bima|namebases-oceania.js|7|lnrt|0|4|11|Pacific|Austronesian|NO|NO
137|Berta-Besme|namebases-africa.js|8|lnrt|0|5|11|||NO|NO
138|Basap|namebases-oceania.js|9|lnrt|0|4|11|Pacific|Austronesian|NO|NO
139|Selaru|namebases-oceania.js|9|lnrt|0|4|11|Pacific|Austronesian|NO|NO
140|Land Dayak|namebases-oceania.js|9|lnrt|0|4|11|Pacific|Austronesian|NO|NO
141|Flores-Lembata|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Austronesian|NO|NO
142|Kei-Tanimbar|namebases-oceania.js|8|lnrt|0|4|11|Pacific|Austronesian|NO|NO
143|Timoric|namebases-oceania.js|9|lnrt|0|4|11|Pacific|Austronesian|NO|NO
144|Sumba-Flores|namebases-oceania.js|9|lnrt|0|4|11|Pacific|Austronesian|NO|NO
145|Tomini-Tolitoli|namebases-oceania.js|9|lnrt|0|4|11|Pacific|Austronesian|NO|NO
146|Muna-Buton|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Austronesian|NO|NO
147|Minahasan|namebases-oceania.js|8|lnrt|0|4|11|Pacific|Austronesian|NO|NO
148|Sangiric|namebases-oceania.js|11|lnrt|0|4|11|Pacific|Austronesian|NO|NO
149|Kayan-Murik|namebases-oceania.js|8|lnrt|0|4|11|Pacific|Austronesian|NO|NO
150|Melanau-Kajang|namebases-oceania.js|7|lnrt|0|4|11|Pacific|Austronesian|NO|NO
151|North Sarawakan|namebases-oceania.js|8|lnrt|0|4|11|Pacific|Austronesian|NO|NO
152|Sabahan|namebases-oceania.js|8|lnrt|0|4|11|Pacific|Austronesian|NO|NO
153|North Borneo|namebases-oceania.js|7|lnrt|0|4|11|Pacific|Austronesian|NO|NO
154|Greater North Borneo|namebases-oceania.js|6|lnrt|0|4|11|Pacific|Austronesian|NO|NO
155|Makassar Branch|namebases-africa.js|6|lnrt|0|4|11|||NO|NO
156|South Sulawesi|namebases-oceania.js|5|lnrt|0|4|11|Pacific|Austronesian|NO|NO
157|Northern South Sulawesi|namebases-oceania.js|6|lnrt|0|4|11|Pacific|Austronesian|NO|NO
158|Central South Sulawesi|namebases-oceania.js|9|lnrt|0|4|11|Pacific|Austronesian|NO|NO
159|Kaili-Wolio|namebases-oceania.js|6|lnrt|0|4|11|Pacific|Austronesian|NO|NO
160|Saluan-Banggai|namebases-oceania.js|11|lnrt|0|4|11|Pacific|Austronesian|NO|NO
161|Seko-Badaic|namebases-oceania.js|8|lnrt|0|4|11|Pacific|Austronesian|NO|NO
162|Moklenic|namebases-oceania.js|7|lnrt|0|4|11|Pacific|Austronesian|NO|NO
163|Nasal|namebases-oceania.js|9|lnrt|0|4|11|Pacific|Austronesian|NO|NO
164|Northwest Sumatra Barrier Islands|namebases-oceania.js|7|lnrt|0|4|11|Pacific|Austronesian|NO|NO
165|Sumatran|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Austronesian|NO|NO
166|SHWNG|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Austronesian|NO|NO
167|Barito|namebases-oceania.js|8|lnrt|0|4|11|Pacific|Austronesian|NO|NO
168|Bali Sasak Sumbawa|namebases-oceania.js|5|lnrt|0|4|11|Pacific|Austronesian|NO|NO
169|Alor Malay|namebases-asia.js|9|lnrt|0|4|11|Asia|Malay-based|NO|NO
171|Malaysian Mandarin|namebases-asia.js|19|lnr|0|4|11|East Asia|Mandarin|NO|NO
172|Malayo-Chamic|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Austronesian|NO|NO
173|Malayo-Polynesian|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Austronesian|NO|NO
174|Western Malayo-Polynesian|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Austronesian|NO|NO
175|Singaporean Mandarin|namebases-asia.js|9|lnrt|0|4|11|East Asia|Mandarin|NO|NO
176|Acehnese|namebases-asia.js|10|lnrt|0|4|11|Southeast Asia|Malayo-Polynesian|NO|NO
177|Madurese|namebases-asia.js|10|lnrt|0|4|11|Southeast Asia|Malayo-Polynesian|NO|NO
178|North New Guinea|namebases-oceania.js|9|lnrt|0|4|11|Pacific|Austronesian|NO|NO
179|Sawila|namebases-oceania.js|9|r|0|4|11|Pacific|Alor–Pantar|NO|NO
180|South Halmahera|namebases-asia.js|10|lnrt|0|4|11|||NO|NO
181|Barlavento Creoles|namebases-asia.js|10|lnrt|0|4|11|Upper Guinea|Portuguese-based|NO|NO
182|Fogo Creole|namebases-asia.js|8|lnrt|0|4|11|Upper Guinea|Portuguese-based|NO|NO
183|Nenets|namebases-europe.js|8|lnrt|0|4|11|Eurasia|Nenets|NO|NO
184|Juk (Bahnaric)|namebases-africa.js|9|lnrt|0|4|11|||NO|NO
185|Wa|namebases-africa.js|10|lnrt|0|4|11|Asia|Waic|NO|NO
186|Tiwi|namebases-oceania.js|9|lnrt|0|4|11|Australia|Australian Aboriginal|NO|NO
187|Ari (Papuan)|namebases-oceania.js|9|lnrt|0|4|11|||NO|NO
188|Maguindanao|namebases-asia.js|10|lnrt|0|4|11|Asia|Austronesian|NO|NO
189|Sotavento Creoles|namebases-asia.js|9|lnrt|0|4|11|Upper Guinea|Portuguese-based|NO|NO
