i,name,file,seeds,d,m,min,max,region,family,reviewed
1905,Hupla,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Dani,[ ]
1906,Hunzib,namebases-asia.js,41,cltr,0,4,11,Caucasus,Northeast Caucasian,[ ]
1908,Hwanghae,namebases-asia.js,41,,0,4,11,None,None,[ ]
1911,Ibanag,namebases-asia.js,41,lnrt,0,4,11,Asia,Austronesian,[ ]
1913,Igbo,namebases-africa.js,47,lnrt,0,4,11,Africa,Igboid,[ ]
1914,Iha,namebases-oceania.js,36,bk,0,4,11,Pacific,West Bomberai,[ ]
1915,Iitti,namebases-europe.js,50,lnrt,0,4,11,Eurasia,Western Dialects,[ ]
1916,Goaria,namebases-asia.js,41,tdnl,0,4,11,Asia,Indo-Aryan,[ ]
1918,Gimi,namebases-oceania.js,36,o,0,4,11,Pacific,Kainantu–Goroka,[ ]
1919,Gurindji Kriol,namebases-oceania.js,36,l,0,4,11,Misc,Mixed,[ ]
1923,Gurung,namebases-asia.js,41,kt,0,4,11,Asia,Gurungic,[ ]
1925,Gawri,namebases-asia.js,41,tdnl,0,4,11,Asia,Indo-Aryan,[ ]
1926,Gowro,namebases-asia.js,41,tdnl,0,4,11,Asia,Indo-Aryan,[ ]
1927,Gawar-Bati,namebases-africa.js,47,tdnl,0,4,11,Asia,Indo-Aryan,[ ]
1929,Gyeonggi-Seoul,namebases-asia.js,41,lnrt,0,4,11,None,None,[ ]
1930,Gyeongsang,namebases-asia.js,41,lnrt,0,4,11,None,None,[ ]
1931,Hamtai,namebases-oceania.js,36,,0,4,11,Pacific,Angan,[ ]
1933,Hani,namebases-asia.js,41,,0,4,11,Sino-Tibetan region,Sino-Tibetan,[ ]
1934,Hausa,namebases-africa.js,47,lnrt,0,4,11,Africa,Chadic,[ ]
1935,Hausa-Gwandara,namebases-africa.js,47,,0,4,11,None,None,[ ]
1937,Armenian (Hayeren),namebases-asia.js,41,lnrt,0,4,11,None,None,[ ]
1938,Armenian Dialect,namebases-asia.js,41,lnrt,0,4,11,None,None,[ ]
1939,Modern Armenian,namebases-africa.js,47,lnrt,0,4,11,None,None,[ ]
1940,Modern Eastern Armenian,namebases-africa.js,47,lnrt,0,4,11,None,None,[ ]
1941,Modern Western Armenian,namebases-africa.js,47,lnrt,0,4,11,None,None,[ ]
1942,Old Armenian,namebases-asia.js,41,lnrt,0,4,11,None,None,[ ]
1943,Old Cilician Armenian,namebases-asia.js,41,lnrt,0,4,11,None,None,[ ]
1944,Hayu (Vayu),namebases-asia.js,41,lnrt,0,4,11,None,None,[ ]
1945,Hazara (Hazaragi),namebases-asia.js,41,lnrt,0,4,11,None,None,[ ]
1946,Udmurt,namebases-europe.js,50,akiut,0,4,11,Europe,Udmurt,[ ]
1947,Ilocano native-speakers subset,namebases-asia.js,41,lnrt,0,4,11,Asia,Austronesian,[ ]
1949,Inoke-Yate,namebases-oceania.js,36,d,0,4,11,Pacific,Kainantu–Goroka,[ ]
1950,Insular Estonian,namebases-europe.js,50,akiut,0,4,11,Eurasia,North Estonian,[ ]
1951,Inuktitut-English Pidgin (dedicated),namebases-northAmerica.js,41,lnrt,0,4,11,None,None,[ ]
1955,Alutaguse,namebases-europe.js,50,akiut,0,4,11,Eurasia,North Estonian,[ ]
1956,Antillean Creole,namebases-asia.js,41,nlrs,0,4,11,The Americas,French-based,[ ]
1963,Yuanmen Hlai,namebases-asia.js,41,lnrt,0,4,11,Asia,Tai-Kadai,[ ]
1964,Qau,namebases-asia.js,41,lnrt,0,4,11,Asia,Kra,[ ]
1967,Taman,namebases-asia.js,41,dh,0,4,11,Sino-Tibetan region,Sino-Tibetan,[ ]
1969,Abinomn,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Isolate,[ ]
1970,Abun,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Isolate,[ ]
1971,Anem,namebases-oceania.js,36,l,0,4,11,Pacific,Isolate,[ ]
1972,Bilua,namebases-oceania.js,36,kl,0,4,11,Pacific,Central Solomons,[ ]
1973,Kuot,namebases-oceania.js,36,dklpt,0,4,11,Pacific,Isolate,[ ]
1974,Kolami,namebases-asia.js,41,tdnl,0,4,11,Asia,Central Dravidian,[ ]
1975,Koraga,namebases-asia.js,41,tdnl,0,4,11,Asia,South Dravidian,[ ]
1976,Kota,namebases-africa.js,47,tdnl,0,4,11,Asia,South Dravidian,[ ]
1977,Kudiya,namebases-asia.js,41,tdnl,0,4,11,Asia,South Dravidian,[ ]
1978,Kui Dravidian,namebases-asia.js,41,tdnl,0,4,11,Asia,South-Central Dravidian,[ ]
1979,Kumbaran,namebases-africa.js,47,tdnl,0,4,11,Asia,South Dravidian,[ ]
1980,Paniya,namebases-asia.js,41,tdnl,0,4,11,Asia,South Dravidian,[ ]
1981,Pardhan,namebases-asia.js,41,tdnl,0,4,11,Asia,South-Central Dravidian,[ ]
1982,Pathiya,namebases-asia.js,41,tdnl,0,4,11,Asia,South Dravidian,[ ]
1983,Tidikelt Berber,namebases-africa.js,47,s,0,4,11,Africa,Zenati Berber,[ ]
1984,Isthmus Zapotec,namebases-northAmerica.js,41,l,0,4,11,Mesoamerica,Oto-Manguean,[ ]
1987,Itelmen,namebases-asia.js,41,lnrt,0,4,11,Siberia,Itelmen,[ ]
1988,Itza,namebases-northAmerica.js,41,kpt,0,4,11,None,None,[ ]
1991,Joseon Korean Early Modern,namebases-asia.js,41,eo,0,4,11,East Asia,Early Modern Korean,[ ]
1993,Joseon Korean Modern,namebases-asia.js,41,eo,0,4,11,East Asia,Modern Korean,[ ]
1996,Juk,namebases-africa.js,47,,0,4,11,Asia,Bahnaric,[ ]
1997,Jirel,namebases-asia.js,41,t,0,4,11,Asia,Tibetic,[ ]
1998,Kam-Tai,namebases-asia.js,41,lnrt,0,4,11,Asia,Tai-Kadai,[ ]
1999,Kamang,namebases-oceania.js,36,dlot,0,4,11,Pacific,Alor–Pantar,[ ]
2000,Kamasa,namebases-oceania.js,36,n,0,4,11,Pacific,Angan,[ ]
2001,Kamassian,namebases-asia.js,41,lnrt,0,4,11,None,None,[ ]
2002,Kambaira,namebases-oceania.js,36,ls,0,4,11,Pacific,Kainantu–Goroka,[ ]
2003,Kamberau,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Asmat–Kamoro,[ ]
2004,Abon,namebases-africa.js,47,lnrt,0,4,11,Africa,Niger-Congo,[ ]
2005,Abron,namebases-africa.js,47,lnrt,0,4,11,Africa,Niger-Congo,[ ]
2006,Khmu,namebases-asia.js,41,,0,4,11,Asia,Khmuic,[ ]
2007,Kuy,namebases-asia.js,41,,0,4,11,Asia,Katuic,[ ]
2008,Katuic,namebases-asia.js,41,,0,4,11,None,None,[ ]
2009,Khmuic,namebases-asia.js,41,,0,4,11,None,None,[ ]
2010,Aja,namebases-africa.js,47,lnrt,0,4,11,Africa,Nilo-Saharan,[ ]
2011,Aka,namebases-africa.js,47,lnrt,0,4,11,Africa,Niger-Congo,[ ]
2012,Ambele,namebases-africa.js,47,lnrt,0,4,11,Africa,Niger-Congo,[ ]
2013,Ambo,namebases-africa.js,47,lnrt,0,4,11,Africa,Niger-Congo,[ ]
2014,Proto Tibeto Burman,namebases-asia.js,41,klt,0,4,11,Sino-Tibetan region,Sino-Tibetan,[ ]
2015,Tibeto Burman,namebases-asia.js,41,cklmnt,0,4,11,Sino-Tibetan region,Sino-Tibetan,[ ]
2016,Sal,namebases-asia.js,41,knt,0,4,11,Sino-Tibetan region,Sino-Tibetan,[ ]
2017,Karakalpak,namebases-asia.js,41,lnot,0,4,11,Asia,Kipchak Turkic,[ ]
2018,Karagas,namebases-europe.js,50,lnrt,0,4,11,Eurasia,Mator,[ ]
2020,Karas,namebases-oceania.js,36,lnrt,0,4,11,Pacific,West Bomberai,[ ]
2021,Karasuk,namebases-europe.js,50,lnrt,0,4,11,Eurasia,Proposed Groupings,[ ]
2023,Hrusish,namebases-asia.js,41,k,0,4,12,Sino-Tibetan region,Sino-Tibetan,[ ]
2024,Ikobi,namebases-oceania.js,36,lnopt,0,4,12,Pacific,Turama–Kikorian,[ ]
2025,Ilocano,namebases-asia.js,41,lnrt,0,4,12,Asia,Austronesian,[ ]
2026,International Sign,namebases-unknown.js,25,,0,4,12,Misc,Pidgin,[ ]
2027,Dagbani,namebases-africa.js,47,lnrt,0,4,11,Africa,Niger-Congo,[ ]
2028,Djimini,namebases-africa.js,47,lnrt,0,4,11,Africa,Niger-Congo,[ ]
2029,Iranun,namebases-asia.js,41,lnrt,0,4,12,Southeast Asia,Philippine,[ ]
2030,Dogoso,namebases-africa.js,47,lnrt,0,4,11,Africa,Niger-Congo,[ ]
2031,Isan,namebases-asia.js,41,lnrt,0,4,12,Asia,Tai-Kadai,[ ]
2032,Evant,namebases-africa.js,47,lnrt,0,4,11,Africa,Niger-Congo,[ ]
2033,Fongoro,namebases-africa.js,47,lnrt,0,4,11,Africa,Nilo-Saharan,[ ]
2034,Fungor,namebases-africa.js,47,lnrt,0,4,11,Africa,Niger-Congo,[ ]
2036,Ghomala',namebases-africa.js,47,lnrt,0,4,11,None,None,[ ]
2037,Gikuyu,namebases-africa.js,47,lnrt,0,4,11,Africa,Niger-Congo,[ ]
2038,Goundo,namebases-africa.js,47,lnrt,0,4,11,Africa,Niger-Congo,[ ]
2039,Gourmanché,namebases-africa.js,47,lnrt,0,4,11,Africa,Niger-Congo,[ ]
2041,Joseon Korean Middle,namebases-asia.js,41,eo,0,4,12,East Asia,Middle Korean,[ ]
2053,Tagwana,namebases-africa.js,47,,0,4,11,Africa,Niger-Congo,[ ]
2054,Tuwat Berber,namebases-africa.js,47,s,0,4,11,Africa,Zenati Berber,[ ]
2056,Western Berber family,namebases-africa.js,47,s,0,4,11,Africa,Western Berber,[ ]
2058,Vengo,namebases-africa.js,47,lnrt,0,4,11,Africa,Niger-Congo,[ ]
2059,Viemo,namebases-africa.js,47,lnrt,0,4,11,Africa,Niger-Congo,[ ]
2060,Viti,namebases-africa.js,47,lnrt,0,4,11,Africa,Niger-Congo,[ ]
2061,Vori,namebases-africa.js,47,lnrt,0,4,11,Africa,Niger-Congo,[ ]
2062,Voro,namebases-africa.js,47,lnrt,0,4,11,Africa,Niger-Congo,[ ]
2063,Wali Ghana,namebases-africa.js,47,,0,4,11,Africa,Niger-Congo,[ ]
2064,Mpur,namebases-oceania.js,36,e,0,4,11,Pacific,West Papuan,[ ]
2065,Maibrat,namebases-oceania.js,36,n,0,4,11,Pacific,West Papuan,[ ]
2066,Mor,namebases-oceania.js,36,ot,0,4,11,Pacific,Trans-New Guinea,[ ]
2067,Elseng,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Isolate,[ ]
2068,Kapauri,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Kwerbic,[ ]
2069,Cree,namebases-northAmerica.js,41,lnrt,0,4,11,North America,Algonquian,[ ]
2070,Ojibwe,namebases-northAmerica.js,41,lnrt,0,4,11,North America,Algonquian,[ ]
2071,Yupik,namebases-northAmerica.js,41,lnrt,0,4,11,Arctic,Yupik,[ ]
2072,Philippine,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Austronesian,[ ]
2073,Cherokee,namebases-northAmerica.js,41,lnrt,0,4,11,North America,Iroquoian,[ ]
2074,Apache,namebases-northAmerica.js,41,lnrt,0,4,11,North America,Na-Dene,[ ]
2075,Athabaskan,namebases-northAmerica.js,41,lnrt,0,4,11,North America,Na-Dene,[ ]
2076,Navajo,namebases-northAmerica.js,41,lnrt,0,4,11,North America,Na-Dene,[ ]
2077,Central Luzon,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Austronesian,[ ]
2078,Georgian dialects,namebases-asia.js,41,cltr,0,4,11,None,None,[ ]
2079,Old Georgian,namebases-asia.js,41,cltr,0,4,11,Caucasus,Kartvelian,[ ]
2080,Proto-Georgian-Zan,namebases-asia.js,41,cltr,0,4,11,None,None,[ ]
2081,Proto-Kartvelian,namebases-asia.js,41,cltr,0,4,11,Caucasus,Proto-Kartvelian,[ ]
2082,Zan languages,namebases-asia.js,41,cltr,0,4,11,Caucasus,Georgian–Zan,[ ]
2083,Judaeo-Georgian,namebases-asia.js,41,cltr,0,4,11,Caucasus,Kartvelian,[ ]
2084,Georgian-Zan,namebases-asia.js,41,cltr,0,4,11,None,None,[ ]
2085,Kartvelian languages,namebases-asia.js,41,cltr,0,4,11,Caucasus,Kartvelian,[ ]
2086,Proto-Samoyedic,namebases-europe.js,50,lnrt,0,4,11,Eurasia,Proto-Samoyedic,[ ]
2088,Kamchatkan,namebases-asia.js,41,lnrt,0,4,11,Siberia,Kamchatkan,[ ]
2089,Kerek,namebases-asia.js,41,lnrt,0,4,11,Siberia,Chukotkan,[ ]
2090,Ket,namebases-asia.js,41,lnrt,0,4,11,Siberia,Northern,[ ]
2091,Koryak,namebases-asia.js,41,lnrt,0,4,11,Siberia,Chukotkan,[ ]
2092,Kott,namebases-asia.js,41,lnrt,0,4,11,Siberia,Southern,[ ]
2096,Soli,namebases-africa.js,47,lnrt,0,4,12,Africa,Niger-Congo,[ ]
2098,Kamono,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Kainantu–Goroka,[ ]
2099,Kanak,namebases-oceania.js,36,r,0,4,11,Pacific,Kanak languages,[ ]
2100,Kanasi,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Southeast Papuan,[ ]
2101,Kandawo,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Chimbu–Wahgi,[ ]
2102,Kangjia,namebases-asia.js,41,lnrt,0,4,11,Asia,Shirongolic,[ ]
2103,Kanite,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Kainantu–Goroka,[ ]
2104,Kannada,namebases-asia.js,41,tdnl,0,4,11,Asia,South Dravidian,[ ]
2105,Kanuri,namebases-africa.js,47,lnrt,0,4,11,Africa,Saharan,[ ]
2106,Kap,namebases-oceania.js,36,lnrt,0,4,11,None,None,[ ]
2107,Kapampangan,namebases-asia.js,41,lnrt,0,4,11,Asia,Austronesian,[ ]
2109,Karelian,namebases-europe.js,50,lnrt,0,4,11,Eurasia,Karelian Proper,[ ]
2110,Karelian proper,namebases-europe.js,50,lnrt,0,4,11,Eurasia,Karelian Proper,[ ]
2116,Kabutra,namebases-asia.js,41,tdnl,0,4,11,Asia,Indo-Aryan,[ ]
2117,Koch,namebases-asia.js,41,lnrt,0,4,11,Asia,Boro-Garo,[ ]
2118,Loyalties-New Caledonia,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Austronesian,[ ]
2119,North Vanuatu,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Austronesian,[ ]
2120,South Vanuatu,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Austronesian,[ ]
2121,Southeast Solomonic,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Austronesian,[ ]
2122,Southern Oceanic,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Austronesian,[ ]
2123,St. Matthias,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Austronesian,[ ]
2124,Temotu,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Austronesian,[ ]
2125,Vanuatu,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Austronesian,[ ]
2126,Western Oceanic,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Austronesian,[ ]
2127,Tai Meuay,namebases-asia.js,41,lnrt,0,4,11,Asia,Tai-Kadai,[ ]
2128,Proto-Kra,namebases-asia.js,41,lnrt,0,4,11,Asia,Kra,[ ]
2129,Nadou,namebases-asia.js,41,lnrt,0,4,11,Asia,Tai-Kadai,[ ]
2130,Mulao Kra,namebases-asia.js,41,lnrt,0,4,11,Asia,Kra,[ ]
2133,Mising,namebases-asia.js,41,l,0,4,11,Sino-Tibetan region,Tani,[ ]
2134,Ke'yagana,namebases-asia.js,41,lnrt,0,4,11,None,None,[ ]
2136,Kemi,namebases-europe.js,50,lnrt,0,4,11,Eurasia,Western Dialects,[ ]
2137,Kemijärvi,namebases-europe.js,50,lnrt,0,4,11,Eurasia,Western Dialects,[ ]
2139,Keuruu-Evijärvi,namebases-europe.js,50,lnrt,0,4,11,Eurasia,Eastern Dialects,[ ]
2141,Kacchi,namebases-asia.js,41,tdnl,0,4,11,Asia,Indo-Aryan,[ ]
2142,Kumaoni,namebases-africa.js,47,tdnl,0,4,11,Asia,Central Pahari,[ ]
2143,Kusunda,namebases-asia.js,41,r,0,4,11,Asia,Kusunda,[ ]
2144,Dura Tandrange,namebases-asia.js,41,,0,4,12,Sino-Tibetan region,Sino-Tibetan,[ ]
2146,Gaelic,namebases-europe.js,50,nld,0,4,12,Europe,Celtic,[ ]
2147,Gong,namebases-asia.js,41,z,0,4,12,Sino-Tibetan region,Sino-Tibetan,[ ]
2148,Gongduk,namebases-asia.js,41,,0,4,12,Sino-Tibetan region,Sino-Tibetan,[ ]
2149,Admiralty,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Austronesian,[ ]
2151,Alor-Pantar,namebases-oceania.js,36,lnrt,0,4,11,None,None,[ ]
2153,Anim languages,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Papuan,[ ]
2154,Aru,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Austronesian,[ ]
2155,Aslian languages,namebases-asia.js,41,,0,4,11,Asia,Aslian,[ ]
2156,Awin-Pa,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Papuan,[ ]
2157,Awyu-Dumut,namebases-oceania.js,36,lnrt,0,4,11,None,None,[ ]
2159,Khowar,namebases-asia.js,41,,0,4,11,Asia,Dardic,[ ]
2160,Khwarshi,namebases-asia.js,41,cltr,0,4,11,Caucasus,Northeast Caucasian,[ ]
2161,Kiautschou Pidgin German,namebases-asia.js,41,cltr,0,4,11,Misc,Pidgin,[ ]
2166,Kikuyu,namebases-africa.js,47,lnrt,0,4,11,Africa,Niger-Congo,[ ]
2167,Kim Mun,namebases-asia.js,41,lnrt,0,4,11,East Asia,Mienic,[ ]
2168,Kimaama-Kimaghama,namebases-oceania.js,36,lnrt,0,4,11,None,None,[ ]
2172,Central Vanuatu,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Austronesian,[ ]
2173,Eastern Oceanic,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Austronesian,[ ]
2174,Meso-Melanesian,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Austronesian,[ ]
2175,Oceanic,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Austronesian,[ ]
2176,Binanderean,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Papuan,[ ]
2177,Kutubuan languages,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Trans–New Guinea,[ ]
2178,Goilalan,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Papuan,[ ]
2179,Kolopom,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Papuan,[ ]
2180,Damal,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Trans-New Guinea,[ ]
2181,Dem,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Trans-New Guinea,[ ]
2182,Dibiyaso,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Bosavi,[ ]
2183,Guriaso,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Kwomtari,[ ]
2184,Kaki Ae,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Eleman,[ ]
2185,Karami,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Lengu,[ ]
2186,Kehu,namebases-oceania.js,36,r,0,4,11,Pacific,Language Isolate,[ ]
2189,Khasi,namebases-asia.js,41,tdnl,0,4,11,Asia,Khasic,[ ]
2190,Lyngngam,namebases-asia.js,41,lnrt,0,4,11,Asia,Khasic,[ ]
2191,Khasi native-speakers subset,namebases-asia.js,41,tdnl,0,4,11,South Asia,Khasic,[ ]
2192,Pnar,namebases-asia.js,41,lnrt,0,4,11,Asia,Khasic,[ ]
2193,War Khasi,namebases-asia.js,41,,0,4,11,Asia,Khasic,[ ]
2194,Khakas,namebases-asia.js,41,lnot,0,4,11,Asia,Siberian Turkic,[ ]
2196,Khamnigan Mongol,namebases-africa.js,47,lnrt,0,4,11,Asia,Mongolic,[ ]
2197,Khams Tibetan,namebases-asia.js,41,lnrt,0,4,11,Asia,Bodish,[ ]
2198,Khamti,namebases-asia.js,41,lnrt,0,4,11,Asia,Tai-Kadai,[ ]
2199,Khamyang,namebases-asia.js,41,lnrt,0,4,11,Asia,Tai-Kadai,[ ]
2200,Kharia,namebases-asia.js,41,lnrt,0,4,11,Asia,Munda,[ ]
2202,Khe Khmer,namebases-asia.js,41,,0,4,11,Asia,Khmeric,[ ]
2203,Northern Khmer,namebases-asia.js,41,,0,4,11,Asia,Khmeric,[ ]
2204,Kho Bwa,namebases-asia.js,41,,0,4,11,Sino-Tibetan region,Sino-Tibetan,[ ]
2205,Khori Buryat,namebases-asia.js,41,aou,0,4,11,Asia,Mongolic,[ ]
2206,Khortha,namebases-asia.js,41,tdnl,0,4,11,Asia,Bihari,[ ]
2223,Achi,namebases-northAmerica.js,41,kpt,0,4,11,Mesoamerica,Mayan,[ ]
2227,Southern Udmurt,namebases-europe.js,50,akiut,0,4,11,Eurasia,Udmurt,[ ]
2228,Northern Udmurt,namebases-europe.js,50,akiut,0,4,11,Eurasia,Udmurt,[ ]
2229,Meadow Mari,namebases-europe.js,50,akiut,0,4,11,Eurasia,Meadow Mari,[ ]
2230,Meadow Mari Proper,namebases-europe.js,50,akiut,0,4,11,Eurasia,Meadow Mari,[ ]
2232,Proto-Mari,namebases-europe.js,50,akiut,0,4,11,Eurasia,Proto-Mari,[ ]
2233,Khun,namebases-asia.js,41,lnrt,0,4,11,Asia,Tai-Kadai,[ ]
2238,Kiwai,namebases-oceania.js,36,,0,4,11,Pacific,Kiwaian,[ ]
2240,Kulung,namebases-asia.js,41,lnrt,0,4,11,Asia,Kiranti,[ ]
2241,Klon,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Alor–Pantar,[ ]
2242,Kalasha,namebases-asia.js,41,lnrt,0,4,11,Asia,Dardic,[ ]
2243,Mednyj Aleut,namebases-asia.js,41,l,0,4,11,Misc,Mixed,[ ]
2244,Mon,namebases-africa.js,47,lnrt,0,4,11,Asia,Monic,[ ]
2245,Mon (native speakers),namebases-africa.js,47,,0,4,11,None,None,[ ]
2246,Lakkia-Kam-Sui,namebases-asia.js,41,lnrt,0,4,11,None,None,[ ]
2247,Tai Hongjin,namebases-asia.js,41,lnrt,0,4,11,Asia,Tai-Kadai,[ ]
2248,Qabiao,namebases-asia.js,41,lnrt,0,4,11,Asia,Kra,[ ]
2249,Akatek,namebases-northAmerica.js,41,kpt,0,4,11,Mesoamerica,Mayan,[ ]
2250,Kochevo,namebases-europe.js,50,akiut,0,4,11,Eurasia,Komi-Permyak,[ ]
2251,Koho,namebases-asia.js,41,,0,4,11,Asia,Bahnaric,[ ]
2252,Koibal,namebases-europe.js,50,lnrt,0,4,11,Eurasia,Kamas,[ ]
2253,Koitabu,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Southeast Papuan,[ ]
2254,Kombai-Wanggom,namebases-asia.js,41,,0,4,11,None,None,[ ]
2255,Komi-Permyak,namebases-europe.js,50,akiut,0,4,11,Eurasia,Komi-Permyak,[ ]
2256,Komolom,namebases-oceania.js,36,n,0,4,11,Pacific,Bayono–Awbono,[ ]
2257,Komyandaret,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Greater Awyu,[ ]
2258,Konai,namebases-oceania.js,36,lnrt,0,4,11,Pacific,East Strickland,[ ]
2259,Konda,namebases-asia.js,41,tdnl,0,4,11,Asia,South-Central Dravidian,[ ]
2260,Konda Khanty,namebases-europe.js,50,akiut,0,4,11,Eurasia,Southern Khanty,[ ]
2261,Koneraw,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Bayono–Awbono,[ ]
2262,Konkani,namebases-asia.js,41,tdnl,0,4,11,Asia,Marathi–Konkani,[ ]
2264,Kopkaka,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Ok–Oksapmin,[ ]
2265,Kor,namebases-asia.js,41,eo,0,4,11,East Asia,Koreanic,[ ]
2266,Korafe,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Binanderean,[ ]
2267,Korlai Portuguese Creole,namebases-asia.js,41,lnrs,0,4,11,Asia,Portuguese-based,[ ]
2269,Korowai,namebases-oceania.js,36,,0,4,11,Pacific,Greater Awyu,[ ]
2270,Koryo-mar,namebases-europe.js,50,eo,0,4,11,Eurasia,Koreanic,[ ]
2271,Kosraean,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Micronesian,[ ]
2272,Kosena,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Kainantu–Goroka,[ ]
2273,Kovojab,namebases-oceania.js,36,i,0,4,11,Pacific,Bayono–Awbono,[ ]
2274,Koya,namebases-asia.js,41,tdnl,0,4,11,Asia,South-Central Dravidian,[ ]
2276,Karata,namebases-asia.js,41,cltr,0,4,11,Caucasus,Northeast Caucasian,[ ]
2277,Kumhali,namebases-africa.js,47,tdnl,0,4,11,Asia,Indo-Aryan,[ ]
2278,Kraasna,namebases-europe.js,50,akiut,0,4,11,Eurasia,South Estonian,[ ]
2279,Krasnojarsk Khanty,namebases-europe.js,50,akiut,0,4,11,Eurasia,Southern Khanty,[ ]
2280,Karachay-Balkar,namebases-asia.js,41,lnot,0,4,11,Caucasus,Kipchak Turkic,[ ]
2281,Krevinian,namebases-europe.js,50,akiut,0,4,11,Eurasia,Votic,[ ]
2282,Krio,namebases-africa.js,47,lnrt,0,4,11,Africa,English-based,[ ]
2283,Kristang,namebases-asia.js,41,lnrs,0,4,11,Asia,Portuguese-based,[ ]
2284,Kubo,namebases-oceania.js,36,lnrt,0,4,11,Pacific,East Strickland,[ ]
2285,Kui Alor-Pantar,namebases-oceania.js,36,tdnl,0,4,11,Pacific,Alor–Pantar,[ ]
2286,Kuki Chin,namebases-asia.js,41,,0,4,11,Sino-Tibetan region,Sino-Tibetan,[ ]
2287,Kuki Chin Naga,namebases-asia.js,41,,0,4,11,Sino-Tibetan region,Sino-Tibetan,[ ]
2288,Kukkuzi,namebases-europe.js,50,akiut,0,4,11,Eurasia,Votic,[ ]
2289,Kula,namebases-oceania.js,36,rst,0,4,11,Pacific,Alor–Pantar,[ ]
2290,Kumyk,namebases-asia.js,41,lnot,0,4,11,Caucasus,Kipchak Turkic,[ ]
2291,Kuman,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Chimbu–Wahgi,[ ]
2292,Kumhali (alias),namebases-africa.js,47,tdnl,0,4,11,Asia,Indo-Aryan,[ ]
2294,Kunduvadi,namebases-asia.js,41,tdnl,0,4,11,Asia,South Dravidian,[ ]
2295,Kuril Ainu,namebases-asia.js,41,eo,0,4,11,Asia,Kuril,[ ]
2296,Kuril dialects,namebases-asia.js,41,lnrt,0,4,11,Asia,Kuril,[ ]
2297,Kurukh,namebases-asia.js,41,tdnl,0,4,11,Asia,North Dravidian,[ ]
2298,Kuvi,namebases-asia.js,41,tdnl,0,4,11,Asia,South-Central Dravidian,[ ]
2299,Bagvalal,namebases-asia.js,41,cltr,0,4,11,Caucasus,Northeast Caucasian,[ ]
2300,Parkari Koli,namebases-asia.js,41,tdnl,0,4,11,Asia,Indo-Aryan,[ ]
2301,Kwoma-Manambu Pidgin,namebases-asia.js,41,,0,4,11,Misc,Pidgin,[ ]
2302,Kui (India),namebases-asia.js,41,tdnl,0,4,11,Asia,South Dravidian,[ ]
2303,Kyaka,namebases-oceania.js,36,g,0,4,11,Pacific,Engan,[ ]
2304,Kyakhta Russian-Chinese Pidgin,namebases-asia.js,41,cltr,0,4,11,Misc,Pidgin,[ ]
2305,Kyowa-go,namebases-asia.js,41,,0,4,11,Misc,Pidgin,[ ]
