score	kind	iso	name	family	category	lexifier	base	baseName	baseTopFamily	baseTopShare	baseTotal
56.000	base_family_outlier	hezhang-buyi	Hezhang Buyi	Kra	Tai-Kadai		530	Zhuang	Tai-Kadai	0.7466666666666667	75
56.000	base_family_outlier	kam-dong	Kam Dong	Kam-Sui	Tai-Kadai		530	Zhuang	Tai-Kadai	0.7466666666666667	75
56.000	base_family_outlier	macro-zhuang	Macro-Zhuang	Zhuang	Tai-Kadai		530	Zhuang	Tai-Kadai	0.7466666666666667	75
56.000	base_family_outlier	mulao-kra	Mulao Kra	Kra	Tai-Kadai		530	Zhuang	Tai-Kadai	0.7466666666666667	75
56.000	base_family_outlier	proto-hlai	Proto-Hlai	Hlai	Tai-Kadai		530	Zhuang	Tai-Kadai	0.7466666666666667	75
56.000	base_family_outlier	proto-kam-sui	Proto-KamSui	Kam-Sui	Tai-Kadai		530	Zhuang	Tai-Kadai	0.7466666666666667	75
56.000	base_family_outlier	proto-kra	Proto-Kra	Kra	Tai-Kadai		530	Zhuang	Tai-Kadai	0.7466666666666667	75
56.000	base_family_outlier	proto-kra-dai	Proto-KraDai	Kra-Dai	Tai-Kadai		530	Zhuang	Tai-Kadai	0.7466666666666667	75
56.000	base_family_outlier	proto-tai	Proto-Tai	Tai	Tai-Kadai		530	Zhuang	Tai-Kadai	0.7466666666666667	75
56.000	base_family_outlier	pyang-zhuang	Pyang Zhuang	Tai	Tai-Kadai		530	Zhuang	Tai-Kadai	0.7466666666666667	75
56.000	base_family_outlier	qabiao	Qabiao	Kra	Tai-Kadai		530	Zhuang	Tai-Kadai	0.7466666666666667	75
56.000	base_family_outlier	qau	Qau	Kra	Tai-Kadai		530	Zhuang	Tai-Kadai	0.7466666666666667	75
56.000	base_family_outlier	sui-lang	Sui Lang	Kam-Sui	Tai-Kadai		530	Zhuang	Tai-Kadai	0.7466666666666667	75
56.000	base_family_outlier	tai-song	Tai Song	Tai	Tai-Kadai		530	Zhuang	Tai-Kadai	0.7466666666666667	75
56.000	base_family_outlier	tai-yao	Tai Yao	Tai	Tai-Kadai		530	Zhuang	Tai-Kadai	0.7466666666666667	75
56.000	base_family_outlier	vandu	Vandu	Kra	Tai-Kadai		530	Zhuang	Tai-Kadai	0.7466666666666667	75
48.000	base_family_outlier	afade-language	Afade language	Chadic	Afroasiatic		151	Sesotho	Niger-Congo	0.7384615384615385	65
48.000	base_family_outlier	baka	Baka	Nilo-Saharan	Nilo-Saharan		151	Sesotho	Niger-Congo	0.7384615384615385	65
48.000	base_family_outlier	birri	Birri	Nilo-Saharan	Nilo-Saharan		151	Sesotho	Niger-Congo	0.7384615384615385	65
48.000	base_family_outlier	bongo	Bongo	Central Sudanic	Nilo-Saharan		151	Sesotho	Niger-Congo	0.7384615384615385	65
48.000	base_family_outlier	bozal-spanish	Bozal Spanish	Spanish-based	Creole	Spanish	151	Sesotho	Niger-Congo	0.7384615384615385	65
48.000	base_family_outlier	bura-language	Bura language	Chadic	Afroasiatic		151	Sesotho	Niger-Congo	0.7384615384615385	65
48.000	base_family_outlier	daza	Daza	Saharan	Nilo-Saharan		151	Sesotho	Niger-Congo	0.7384615384615385	65
48.000	base_family_outlier	forro-creole	Forro Creole	Portuguese-based	Creole	Portuguese	151	Sesotho	Niger-Congo	0.7384615384615385	65
48.000	base_family_outlier	fur	Fur	Nilo-Saharan	Nilo-Saharan		151	Sesotho	Niger-Congo	0.7384615384615385	65
48.000	base_family_outlier	lozi	Lozi	Bantu	Niger-Congo		151	Sesotho	Niger-Congo	0.7384615384615385	65
